noise_type,noise_name,class_name,correct,wrong,total,accuracy
intermittent,pink_noise,visual,35,65,100,0.35
intermittent,pink_noise,wow,17,83,100,0.17
intermittent,pink_noise,yes,13,87,100,0.13
intermittent,pink_noise,zero,33,67,100,0.33
intermittent,running_tap,backward,27,73,100,0.27
intermittent,running_tap,bed,15,85,100,0.15
intermittent,running_tap,bird,8,92,100,0.08
intermittent,running_tap,cat,36,64,100,0.36
intermittent,running_tap,dog,4,96,100,0.04
intermittent,running_tap,down,0,100,100,0.0
intermittent,running_tap,eight,34,66,100,0.34
intermittent,running_tap,five,35,65,100,0.35
intermittent,running_tap,follow,22,78,100,0.22
intermittent,running_tap,forward,40,60,100,0.4
intermittent,running_tap,four,21,79,100,0.21
intermittent,running_tap,go,1,99,100,0.01
intermittent,running_tap,happy,3,97,100,0.03
intermittent,running_tap,house,46,54,100,0.46
intermittent,running_tap,learn,4,96,100,0.04
intermittent,running_tap,left,14,86,100,0.14
intermittent,running_tap,marvin,7,93,100,0.07
intermittent,running_tap,nine,13,87,100,0.13
intermittent,running_tap,no,9,91,100,0.09
intermittent,running_tap,off,52,48,100,0.52
intermittent,running_tap,on,6,94,100,0.06
intermittent,running_tap,one,1,99,100,0.01
intermittent,running_tap,right,12,88,100,0.12
intermittent,running_tap,seven,19,81,100,0.19
intermittent,running_tap,sheila,18,82,100,0.18
intermittent,running_tap,six,90,10,100,0.9
intermittent,running_tap,stop,28,72,100,0.28
intermittent,running_tap,three,22,78,100,0.22
intermittent,running_tap,tree,13,87,100,0.13
intermittent,running_tap,two,13,87,100,0.13
intermittent,running_tap,up,11,89,100,0.11
intermittent,running_tap,visual,38,62,100,0.38
intermittent,running_tap,wow,15,85,100,0.15
intermittent,running_tap,yes,14,86,100,0.14
intermittent,running_tap,zero,56,44,100,0.56
intermittent,white_noise,backward,17,83,100,0.17
intermittent,white_noise,bed,1,99,100,0.01
intermittent,white_noise,bird,1,99,100,0.01
intermittent,white_noise,cat,24,76,100,0.24
intermittent,white_noise,dog,13,87,100,0.13
intermittent,white_noise,down,4,96,100,0.04
intermittent,white_noise,eight,14,86,100,0.14
intermittent,white_noise,five,18,82,100,0.18
intermittent,white_noise,follow,7,93,100,0.07
intermittent,white_noise,forward,45,55,100,0.45
