noise_type,noise_name,class_name,correct,wrong,total,accuracy
fixed,white_noise,eight,4,96,100,0.04
fixed,white_noise,five,5,95,100,0.05
fixed,white_noise,follow,3,97,100,0.03
fixed,white_noise,forward,0,100,100,0.0
fixed,white_noise,four,10,90,100,0.1
fixed,white_noise,go,4,96,100,0.04
fixed,white_noise,happy,0,100,100,0.0
fixed,white_noise,house,2,98,100,0.02
fixed,white_noise,learn,2,98,100,0.02
fixed,white_noise,left,1,99,100,0.01
fixed,white_noise,marvin,4,96,100,0.04
fixed,white_noise,nine,0,100,100,0.0
fixed,white_noise,no,3,97,100,0.03
fixed,white_noise,off,12,88,100,0.12
fixed,white_noise,on,1,99,100,0.01
fixed,white_noise,one,1,99,100,0.01
fixed,white_noise,right,0,100,100,0.0
fixed,white_noise,seven,20,80,100,0.2
fixed,white_noise,sheila,0,100,100,0.0
fixed,white_noise,six,24,76,100,0.24
fixed,white_noise,stop,13,87,100,0.13
fixed,white_noise,three,4,96,100,0.04
fixed,white_noise,tree,6,94,100,0.06
fixed,white_noise,two,11,89,100,0.11
fixed,white_noise,up,0,100,100,0.0
fixed,white_noise,visual,1,99,100,0.01
fixed,white_noise,wow,3,97,100,0.03
fixed,white_noise,yes,88,12,100,0.88
fixed,white_noise,zero,2,98,100,0.02
intermittent,doing_the_dishes,backward,69,31,100,0.69
intermittent,doing_the_dishes,bed,31,69,100,0.31
intermittent,doing_the_dishes,bird,43,57,100,0.43
intermittent,doing_the_dishes,cat,51,49,100,0.51
intermittent,doing_the_dishes,dog,40,60,100,0.4
intermittent,doing_the_dishes,down,15,85,100,0.15
intermittent,doing_the_dishes,eight,32,68,100,0.32
intermittent,doing_the_dishes,five,43,57,100,0.43
intermittent,doing_the_dishes,follow,36,64,100,0.36
intermittent,doing_the_dishes,forward,35,65,100,0.35
intermittent,doing_the_dishes,four,36,64,100,0.36
intermittent,doing_the_dishes,go,15,85,100,0.15
intermittent,doing_the_dishes,happy,28,72,100,0.28
intermittent,doing_the_dishes,house,45,55,100,0.45
intermittent,doing_the_dishes,learn,20,80,100,0.2
intermittent,doing_the_dishes,left,34,66,100,0.34
intermittent,doing_the_dishes,marvin,52,48,100,0.52
intermittent,doing_the_dishes,nine,37,63,100,0.37
intermittent,doing_the_dishes,no,17,83,100,0.17
intermittent,doing_the_dishes,off,45,55,100,0.45
intermittent,doing_the_dishes,on,15,85,100,0.15
intermittent,doing_the_dishes,one,9,91,100,0.09
intermittent,doing_the_dishes,right,33,67,100,0.33
intermittent,doing_the_dishes,seven,39,61,100,0.39
intermittent,doing_the_dishes,sheila,57,43,100,0.57
intermittent,doing_the_dishes,six,71,29,100,0.71
intermittent,doing_the_dishes,stop,55,45,100,0.55
intermittent,doing_the_dishes,three,25,75,100,0.25
intermittent,doing_the_dishes,tree,35,65,100,0.35
intermittent,doing_the_dishes,two,9,91,100,0.09
intermittent,doing_the_dishes,up,24,76,100,0.24
intermittent,doing_the_dishes,visual,52,48,100,0.52
intermittent,doing_the_dishes,wow,30,70,100,0.3
intermittent,doing_the_dishes,yes,48,52,100,0.48
intermittent,doing_the_dishes,zero,38,62,100,0.38
intermittent,dude_miaowing,backward,49,51,100,0.49
intermittent,dude_miaowing,bed,43,57,100,0.43
intermittent,dude_miaowing,bird,57,43,100,0.57
intermittent,dude_miaowing,cat,62,38,100,0.62
intermittent,dude_miaowing,dog,38,62,100,0.38
intermittent,dude_miaowing,down,25,75,100,0.25
intermittent,dude_miaowing,eight,67,33,100,0.67
intermittent,dude_miaowing,five,42,58,100,0.42
intermittent,dude_miaowing,follow,42,58,100,0.42
intermittent,dude_miaowing,forward,50,50,100,0.5
intermittent,dude_miaowing,four,52,48,100,0.52
intermittent,dude_miaowing,go,29,71,100,0.29
intermittent,dude_miaowing,happy,43,57,100,0.43
intermittent,dude_miaowing,house,62,38,100,0.62
intermittent,dude_miaowing,learn,32,68,100,0.32
intermittent,dude_miaowing,left,39,61,100,0.39
intermittent,dude_miaowing,marvin,39,61,100,0.39
intermittent,dude_miaowing,nine,30,70,100,0.3
intermittent,dude_miaowing,no,29,71,100,0.29
intermittent,dude_miaowing,off,63,37,100,0.63
intermittent,dude_miaowing,on,27,73,100,0.27
intermittent,dude_miaowing,one,13,87,100,0.13
intermittent,dude_miaowing,right,28,72,100,0.28
intermittent,dude_miaowing,seven,63,37,100,0.63
intermittent,dude_miaowing,sheila,73,27,100,0.73
intermittent,dude_miaowing,six,79,21,100,0.79
intermittent,dude_miaowing,stop,62,38,100,0.62
intermittent,dude_miaowing,three,50,50,100,0.5
intermittent,dude_miaowing,tree,53,47,100,0.53
intermittent,dude_miaowing,two,49,51,100,0.49
intermittent,dude_miaowing,up,41,59,100,0.41
intermittent,dude_miaowing,visual,53,47,100,0.53
intermittent,dude_miaowing,wow,37,63,100,0.37
intermittent,dude_miaowing,yes,51,49,100,0.51
intermittent,dude_miaowing,zero,50,50,100,0.5
intermittent,exercise_bike,backward,22,78,100,0.22
intermittent,exercise_bike,bed,17,83,100,0.17
intermittent,exercise_bike,bird,23,77,100,0.23
intermittent,exercise_bike,cat,61,39,100,0.61
intermittent,exercise_bike,dog,10,90,100,0.1
intermittent,exercise_bike,down,13,87,100,0.13
intermittent,exercise_bike,eight,49,51,100,0.49
intermittent,exercise_bike,five,52,48,100,0.52
intermittent,exercise_bike,follow,41,59,100,0.41
intermittent,exercise_bike,forward,49,51,100,0.49
intermittent,exercise_bike,four,52,48,100,0.52
intermittent,exercise_bike,go,8,92,100,0.08
intermittent,exercise_bike,happy,15,85,100,0.15
intermittent,exercise_bike,house,52,48,100,0.52
intermittent,exercise_bike,learn,9,91,100,0.09
intermittent,exercise_bike,left,40,60,100,0.4
intermittent,exercise_bike,marvin,23,77,100,0.23
intermittent,exercise_bike,nine,17,83,100,0.17
intermittent,exercise_bike,no,10,90,100,0.1
intermittent,exercise_bike,off,71,29,100,0.71
intermittent,exercise_bike,on,4,96,100,0.04
intermittent,exercise_bike,one,4,96,100,0.04
intermittent,exercise_bike,right,25,75,100,0.25
intermittent,exercise_bike,seven,41,59,100,0.41
intermittent,exercise_bike,sheila,38,62,100,0.38
intermittent,exercise_bike,six,86,14,100,0.86
intermittent,exercise_bike,stop,43,57,100,0.43
intermittent,exercise_bike,three,58,42,100,0.58
intermittent,exercise_bike,tree,24,76,100,0.24
intermittent,exercise_bike,two,30,70,100,0.3
intermittent,exercise_bike,up,13,87,100,0.13
intermittent,exercise_bike,visual,63,37,100,0.63
intermittent,exercise_bike,wow,16,84,100,0.16
intermittent,exercise_bike,yes,41,59,100,0.41
intermittent,exercise_bike,zero,46,54,100,0.46
intermittent,pink_noise,backward,12,88,100,0.12
intermittent,pink_noise,bed,16,84,100,0.16
intermittent,pink_noise,bird,32,68,100,0.32
intermittent,pink_noise,cat,47,53,100,0.47
intermittent,pink_noise,dog,24,76,100,0.24
intermittent,pink_noise,down,9,91,100,0.09
intermittent,pink_noise,eight,35,65,100,0.35
intermittent,pink_noise,five,16,84,100,0.16
intermittent,pink_noise,follow,28,72,100,0.28
intermittent,pink_noise,forward,26,74,100,0.26
intermittent,pink_noise,four,22,78,100,0.22
intermittent,pink_noise,go,4,96,100,0.04
intermittent,pink_noise,happy,5,95,100,0.05
intermittent,pink_noise,house,20,80,100,0.2
intermittent,pink_noise,learn,4,96,100,0.04
intermittent,pink_noise,left,30,70,100,0.3
intermittent,pink_noise,marvin,15,85,100,0.15
intermittent,pink_noise,nine,16,84,100,0.16
intermittent,pink_noise,no,7,93,100,0.07
intermittent,pink_noise,off,37,63,100,0.37
intermittent,pink_noise,on,5,95,100,0.05
intermittent,pink_noise,one,0,100,100,0.0
intermittent,pink_noise,right,50,50,100,0.5
intermittent,pink_noise,seven,62,38,100,0.62
intermittent,pink_noise,sheila,9,91,100,0.09
intermittent,pink_noise,six,49,51,100,0.49
intermittent,pink_noise,stop,40,60,100,0.4
intermittent,pink_noise,three,28,72,100,0.28
intermittent,pink_noise,tree,17,83,100,0.17
intermittent,pink_noise,two,13,87,100,0.13
intermittent,pink_noise,up,11,89,100,0.11
intermittent,pink_noise,visual,46,54,100,0.46
intermittent,pink_noise,wow,8,92,100,0.08
intermittent,pink_noise,yes,19,81,100,0.19
intermittent,pink_noise,zero,27,73,100,0.27
intermittent,running_tap,backward,9,91,100,0.09
intermittent,running_tap,bed,2,98,100,0.02
intermittent,running_tap,bird,3,97,100,0.03
intermittent,running_tap,cat,36,64,100,0.36
intermittent,running_tap,dog,1,99,100,0.01
intermittent,running_tap,down,1,99,100,0.01
intermittent,running_tap,eight,18,82,100,0.18
intermittent,running_tap,five,64,36,100,0.64
intermittent,running_tap,follow,34,66,100,0.34
intermittent,running_tap,forward,50,50,100,0.5
intermittent,running_tap,four,32,68,100,0.32
intermittent,running_tap,go,1,99,100,0.01
intermittent,running_tap,happy,2,98,100,0.02
intermittent,running_tap,house,49,51,100,0.49
intermittent,running_tap,learn,0,100,100,0.0
intermittent,running_tap,left,20,80,100,0.2
intermittent,running_tap,marvin,3,97,100,0.03
intermittent,running_tap,nine,3,97,100,0.03
intermittent,running_tap,no,2,98,100,0.02
intermittent,running_tap,off,43,57,100,0.43
intermittent,running_tap,on,2,98,100,0.02
intermittent,running_tap,one,1,99,100,0.01
intermittent,running_tap,right,7,93,100,0.07
intermittent,running_tap,seven,18,82,100,0.18
intermittent,running_tap,sheila,27,73,100,0.27
intermittent,running_tap,six,92,8,100,0.92
intermittent,running_tap,stop,22,78,100,0.22
intermittent,running_tap,three,31,69,100,0.31
intermittent,running_tap,tree,13,87,100,0.13
intermittent,running_tap,two,23,77,100,0.23
intermittent,running_tap,up,0,100,100,0.0
intermittent,running_tap,visual,57,43,100,0.57
intermittent,running_tap,wow,2,98,100,0.02
intermittent,running_tap,yes,22,78,100,0.22
intermittent,running_tap,zero,28,72,100,0.28
intermittent,white_noise,backward,0,100,100,0.0
intermittent,white_noise,bed,0,100,100,0.0
intermittent,white_noise,bird,0,100,100,0.0
intermittent,white_noise,cat,14,86,100,0.14
intermittent,white_noise,dog,0,100,100,0.0
intermittent,white_noise,down,0,100,100,0.0
intermittent,white_noise,eight,4,96,100,0.04
intermittent,white_noise,five,52,48,100,0.52
intermittent,white_noise,follow,16,84,100,0.16
intermittent,white_noise,forward,37,63,100,0.37
intermittent,white_noise,four,4,96,100,0.04
intermittent,white_noise,go,0,100,100,0.0
intermittent,white_noise,happy,0,100,100,0.0
intermittent,white_noise,house,8,92,100,0.08
intermittent,white_noise,learn,0,100,100,0.0
intermittent,white_noise,left,5,95,100,0.05
intermittent,white_noise,marvin,0,100,100,0.0
intermittent,white_noise,nine,0,100,100,0.0
intermittent,white_noise,no,0,100,100,0.0
intermittent,white_noise,off,18,82,100,0.18
intermittent,white_noise,on,0,100,100,0.0
intermittent,white_noise,one,0,100,100,0.0
intermittent,white_noise,right,1,99,100,0.01
intermittent,white_noise,seven,6,94,100,0.06
intermittent,white_noise,sheila,2,98,100,0.02
intermittent,white_noise,six,97,3,100,0.97
intermittent,white_noise,stop,3,97,100,0.03
intermittent,white_noise,three,7,93,100,0.07
intermittent,white_noise,tree,1,99,100,0.01
intermittent,white_noise,two,2,98,100,0.02
intermittent,white_noise,up,0,100,100,0.0
intermittent,white_noise,visual,59,41,100,0.59
intermittent,white_noise,wow,0,100,100,0.0
intermittent,white_noise,yes,5,95,100,0.05
intermittent,white_noise,zero,2,98,100,0.02
